book_imbalance,mid_price,timestamp
15199843.626635473,37999300.0,2022-05-22 02:23:11.009836
15199767.01432622,37999100.0,2022-05-22 02:23:15.966632
15199407.10138762,37998000.0,2022-05-22 02:23:20.927450
15197546.932851529,37993500.0,2022-05-22 02:23:25.888543
15197902.544760764,37994000.0,2022-05-22 02:23:30.850366
15197816.045967579,37993700.0,2022-05-22 02:23:35.805825
15197945.072292376,37993900.0,2022-05-22 02:23:40.775369
15198178.8733244,37994500.0,2022-05-22 02:23:45.732401
15197999.108152945,37994100.0,2022-05-22 02:23:50.687789
15198295.991898442,37995000.0,2022-05-22 02:23:55.642811
15197323.092698235,37992900.0,2022-05-22 02:24:00.599208
15198302.382828528,37994900.0,2022-05-22 02:24:05.572630
15209746.000163505,38024200.0,2022-05-22 02:24:10.531473
15208181.566026008,38020100.0,2022-05-22 02:24:15.503785
15208489.843163813,38020800.0,2022-05-22 02:24:20.468804
15208489.843163813,38020800.0,2022-05-22 02:24:25.427750
15209041.100726342,38022100.0,2022-05-22 02:24:30.387179
15208888.23711752,38021800.0,2022-05-22 02:24:35.346387
15209235.843331888,38022100.0,2022-05-22 02:24:40.315321
15208759.504449502,38021100.0,2022-05-22 02:24:45.271635
15208759.504449502,38021100.0,2022-05-22 02:24:50.228805
15206224.993300412,38015200.0,2022-05-22 02:24:55.196760
15203061.251163358,38007700.0,2022-05-22 02:25:00.154117
15202352.65584516,38005300.0,2022-05-22 02:25:05.113092
15202613.312857691,38005600.0,2022-05-22 02:25:10.075030
15205226.775208365,38012700.0,2022-05-22 02:25:15.034440
15205984.125248652,38013800.0,2022-05-22 02:25:19.993809
15206360.411927039,38014600.0,2022-05-22 02:25:24.950287
15205876.58638097,38014200.0,2022-05-22 02:25:29.912847
15202171.121787865,38005500.0,2022-05-22 02:25:34.878924
15200336.895807434,38000500.0,2022-05-22 02:25:39.836550
15200433.390303249,38000600.0,2022-05-22 02:25:44.803004
15200453.390303249,38000700.0,2022-05-22 02:25:49.770625
15202866.415784571,38006300.0,2022-05-22 02:25:54.726645
15206680.740775932,38015600.0,2022-05-22 02:25:59.686696
15203073.212479645,38008000.0,2022-05-22 02:26:04.647423
15203044.178382551,38007700.0,2022-05-22 02:26:09.607150
15203059.295813987,38008000.0,2022-05-22 02:26:14.566460
15202705.613355866,38007000.0,2022-05-22 02:26:19.525141
15202557.596565288,38007000.0,2022-05-22 02:26:24.493795
15202614.368787676,38007000.0,2022-05-22 02:26:29.452020
15202607.41866836,38007000.0,2022-05-22 02:26:34.421492
15202850.495898921,38007500.0,2022-05-22 02:26:39.379019
15202829.82649354,38007300.0,2022-05-22 02:26:44.331659
15202896.775618792,38007900.0,2022-05-22 02:26:49.292050
15203447.53186363,38009100.0,2022-05-22 02:26:54.252245
15203366.117473204,38009100.0,2022-05-22 02:26:59.209113
15203403.900450533,38009100.0,2022-05-22 02:27:04.169296
15197920.701933747,37995000.0,2022-05-22 02:27:09.132062
15198495.146058813,37995800.0,2022-05-22 02:27:14.088473
15198852.64772321,37996600.0,2022-05-22 02:27:19.044846
15197556.011095215,37993400.0,2022-05-22 02:27:24.005180
15198090.338091012,37994600.0,2022-05-22 02:27:28.971059
15199098.03284284,37997400.0,2022-05-22 02:27:33.931395
15199206.74197362,37997800.0,2022-05-22 02:27:38.890545
15199870.51785091,37999600.0,2022-05-22 02:27:43.850761
